Time,DurationTime,Center of Cross Hair.x,CameraRotation.x,Center of Cross Hair.y(m),Center of Crosshair(degree),CameraRotation.y,mousepos.x,mousepos.y,Speed.x,Speed.y,Speed(m/s),Starting to move,Target,Spawn Position.x,Spawn Position.y,Spawn Position.z,On Target,Leave Target,Shot,Destroy of Target,Hap1,Hap2,Ray Distance
,0,,,,,,,,,,0.011891062,0,1,,,,0,,,0,,,
,0.004167,,,,,,,,,,0.010450645,0,,,,,0,,,0,,,
,0.008333,,,,,,,,,,0.009588316,0,,,,,0,,,0,,,
,0.0125,,,,,,,,,,0.007749754,0,,,,,0,,,0,,,
,0.016667,,,,,,,,,,0.00724061,0,,,,,0,,,0,,,
,0.020833,,,,,,,,,,0.005785251,0,,,,,0,,,0,,,
,0.025,,,,,,,,,,0.004705892,0,,,,,0,,,0,,,
,0.029167,,,,,,,,,,0.004001222,0,,,,,0,,,0,,,
,0.033333,,,,,,,,,,0.004810936,0,,,,,0,,,0,,,
,0.0375,,,,,,,,,,0.007018676,0,,,,,0,,,0,,,
,0.041667,,,,,,,,,,0.013309794,0,,,,,0,,,0,,,
,0.045833,,,,,,,,,,0.022908922,0,,,,,0,,,0,,,
,0.05,,,,,,,,,,0.036820038,0,,,,,0,,,0,,,
,0.054167,,,,,,,,,,0.055427156,0,,,,,0,,,0,,,
,0.058333,,,,,,,,,,0.075934554,1,,,,,0,,,0,,,
,0.0625,,,,,,,,,,0.10039605,0,,,,,0,,,0,,,
,0.066667,,,,,,,,,,0.128487479,0,,,,,0,,,0,,,
,0.070833,,,,,,,,,,0.165710089,0,,,,,0,,,0,,,
,0.075,,,,,,,,,,0.206383071,0,,,,,0,,,0,,,
,0.079167,,,,,,,,,,0.246513945,0,,,,,0,,,0,,,
,0.083333,,,,,,,,,,0.292926671,0,,,,,0,,,0,,,
,0.0875,,,,,,,,,,0.33531622,0,,,,,0,,,0,,,
,0.091667,,,,,,,,,,0.385887296,0,,,,,0,,,0,,,
,0.095833,,,,,,,,,,0.423235676,0,,,,,0,,,0,,,
,0.1,,,,,,,,,,0.471391389,0,,,,,0,,,0,,,
,0.104167,,,,,,,,,,0.512275326,0,,,,,0,,,0,,,
,0.108333,,,,,,,,,,0.55140193,0,,,,,0,,,0,,,
,0.1125,,,,,,,,,,0.572891771,0,,,,,0,,,0,,,
,0.116667,,,,,,,,,,0.598055626,0,,,,,0,,,0,,,
,0.120833,,,,,,,,,,0.605078043,0,,,,,0,,,0,,,
,0.125,,,,,,,,,,0.60191687,0,,,,,0,,,0,,,
,0.129167,,,,,,,,,,0.59154942,0,,,,,0,,,0,,,
,0.133333,,,,,,,,,,0.561334508,0,,,,,0,,,0,,,
,0.1375,,,,,,,,,,0.533092885,0,,,,,0,,,0,,,
,0.141667,,,,,,,,,,0.49991429,0,,,,,0,,,0,,,
,0.145833,,,,,,,,,,0.459193891,0,,,,,0,,,0,,,
,0.15,,,,,,,,,,0.422022621,0,,,,,0,,,0,,,
,0.154167,,,,,,,,,,0.390165273,0,,,,,0,,,0,,,
,0.158333,,,,,,,,,,0.345785645,0,,,,,0,,,0,,,
,0.1625,,,,,,,,,,0.304510524,0,,,,,0,,,0,,,
,0.166667,,,,,,,,,,0.268229558,0,,,,,0,,,0,,,
,0.170833,,,,,,,,,,0.220456736,0,,,,,0,,,0,,,
,0.175,,,,,,,,,,0.178547088,0,,,,,0,,,0,,,
,0.179167,,,,,,,,,,0.14396337,0,,,,,0,,,0,,,
,0.183333,,,,,,,,,,0.112941936,0,,,,,0,,,0,,,
,0.1875,,,,,,,,,,0.084992311,0,,,,,0,,,0,,,
,0.191667,,,,,,,,,,0.069751629,0,,,,,0,,,0,,,
,0.195833,,,,,,,,,,0.059253368,0,,,,,1,,,0,,,
,0.2,,,,,,,,,,0.052047163,0,,,,,0,,,0,,,
,0.204167,,,,,,,,,,0.046797513,0,,,,,0,,,0,,,
,0.208333,,,,,,,,,,0.044308141,0,,,,,0,,,0,,,
,0.2125,,,,,,,,,,0.045092573,0,,,,,0,,,0,,,
,0.216667,,,,,,,,,,0.043539338,0,,,,,0,,,0,,,
,0.220833,,,,,,,,,,0.044299411,0,,,,,0,,,0,,,
,0.225,,,,,,,,,,0.043486097,0,,,,,0,,,0,,,
,0.229167,,,,,,,,,,0.042147852,0,,,,,0,,,0,,,
,0.233333,,,,,,,,,,0.038643342,0,,,,,0,,,0,,,
,0.2375,,,,,,,,,,0.037807861,0,,,,,0,,,0,,,
,0.241667,,,,,,,,,,0.034871783,0,,,,,0,,,0,,,
,0.245833,,,,,,,,,,0.033518144,0,,,,,0,,,0,,,
,0.25,,,,,,,,,,0.031408425,0,,,,,0,,,0,,,
,0.254167,,,,,,,,,,0.02782471,0,,,,,0,,,0,,,
,0.258333,,,,,,,,,,0.024049821,0,,,,,0,,,0,,,
,0.2625,,,,,,,,,,0.021101186,0,,,,,0,,,0,,,
,0.266667,,,,,,,,,,0.017907104,0,,,,,0,,,0,,,
,0.270833,,,,,,,,,,0.015329311,0,,,,,0,,,0,,,
,0.275,,,,,,,,,,0.013897698,0,,,,,0,,,0,,,
,0.279167,,,,,,,,,,0.012345528,0,,,,,0,,,0,,,
,0.283333,,,,,,,,,,0.010400881,0,,,,,0,,,0,,,
,0.2875,,,,,,,,,,0.009469989,0,,,,,0,,,0,,,
,0.291667,,,,,,,,,,0.009909692,0,,,,,0,,,0,,,
,0.295833,,,,,,,,,,0.011887545,0,,,,,0,,,0,,,
,0.3,,,,,,,,,,0.014427504,0,,,,,0,,,0,,,
,0.304167,,,,,,,,,,0.018710333,0,,,,,0,,,0,,,
,0.308333,,,,,,,,,,0.022332812,0,,,,,0,,,0,,,
,0.3125,,,,,,,,,,0.027307513,0,,,,,0,,,0,,,
,0.316667,,,,,,,,,,0.032939276,0,,,,,0,,,0,,,
,0.320833,,,,,,,,,,0.039600051,0,,,,,0,,,0,,,
,0.325,,,,,,,,,,0.046119096,0,,,,,0,,,0,,,
,0.329167,,,,,,,,,,0.053713438,0,,,,,0,,,0,,,
,0.333333,,,,,,,,,,0.059283221,0,,,,,0,,,0,,,
,0.3375,,,,,,,,,,0.063100891,0,,,,,0,,,0,,,
,0.341667,,,,,,,,,,0.065660513,0,,,,,0,,,0,,,
,0.345833,,,,,,,,,,0.064197223,0,,,,,0,,,0,,,
